Nombre,Tipo,Subtipo,Estatus,Direccion Fisica,Region,Region Zipcode,Municipio,Fipcode,Zipcode,Contacto,Telefono,Tipo de Licencia,Numero de Licencia,Expiracion de Licencia,Estatus de Licencia,Capacidad
Hogar Sustituto Regazo De Paz,Adultos Mayores,Hogar Sustituto,Operando,"Carr. #2 Km 123.4 Sector 3, Bo. Caimital Alto, Aguadilla",Aguadilla,603,Aguadilla,72005,603,Olga,(787)-612-5393,Licenciado,122,6/3/2024,Al dia,6
Hogar Alondra,Adultos Mayores,Institucion de Adultos,Operando,"Urb. Reparto Lopez Calle Hilda #105, Aguadilla",Aguadilla,603,Aguadilla,72005,603,Katherine,(787)-533-1452,Licenciado,171,10/16/2024,Al dia,11
Inst. Casa Natalia,Adultos Mayores,Institucion de Adultos,Operando,"Bo. Borinquen, Carr #467 Km. 2.2, Bo. Borinquen, Aguadilla",Aguadilla,603,Aguadilla,72005,603,Natalie,(787)-603-1286,Licenciado,204,4/13/2024,Al dia,12
Hogar Casa Victoria I Inc.,Adultos Mayores,Institucion de Adultos,Operando,Carr. 2 Km. 124.5 Bo. Corrales,Aguadilla,603,Aguadilla,72005,603,Jocelyn,(787)-629-9416,Licenciado,216,3/18/2024,Al dia,13
La Posada De Mi Viejo,Adultos Mayores,Institucion de Adultos,Operando,"Carr. 462 Km 1.2 Sector Pupo Jimenez, Aguadilla",Aguadilla,603,Aguadilla,72005,603,Ana,(787)-882-8128,Licenciado,109,9/14/2024,Al dia,13
Inst. Hogar Belen 2 Inc,Adultos Mayores,Institucion de Adultos,Operando,Urb. Villa Grajales Calle Roble #61 Int.,Aguadilla,603,Aguadilla,72005,603,Mayra,(787)-658-6522,Licenciado,199,9/24/2023,Al dia,14
Hogar  De Bendicion Xiomara Inc.,Adultos Mayores,Institucion de Adultos,Operando,Carr. #2 Km. 120.5 Sector Zambrana,Aguadilla,603,Aguadilla,72005,603,Xiomara,(787)-514-4529,Licenciado,235,9/11/2025,Al dia,15
Hogar Casa Victoria Ii,Adultos Mayores,Institucion de Adultos,Operando,"Carr. 467 Km 4.4 Sector El Castillo, Bo. Camaseyes,",Aguadilla,603,Aguadilla,72005,603,Jocelyn,(787)-629-9416,Licenciado,226,11/19/2024,Al dia,16
Centro Integral Belmar,Adultos Mayores,Institucion de Adultos,Operando,Urb. Villa Linda Calle Cotorra #216 Bo. Corrales Carr.,Aguadilla,603,Aguadilla,72005,603,Alberto,(787)-658-6300,Licenciado,176,3/3/2025,Al dia,19
Hogar Kimora Inc.,Adultos Mayores,Institucion de Adultos,Operando,Barrio Caimital Alto Carr. 462 Km 0.1 #56,Aguadilla,603,Aguadilla,72005,603,Evelyn,(787)-455-1222,Licenciado,255,12/1/2023,Al dia,19
Inst. Hogar Rinconcito De Amor Iii,Adultos Mayores,Institucion de Adultos,Operando,Carr. 118 Km 4.8 Bo. Aguacate,Aguadilla,603,Aguadilla,72005,603,Evenilda,(787)-882-6682,Licenciado,257,3/14/2024,Al dia,20
Casa Armonia,Adultos Mayores,Institucion de Adultos,Operando,Carr. #2 Km 122.5 Bo. Caimital Alto Aguadilla,Aguadilla,603,Aguadilla,72005,603,Pedro,(939)-262-2929,Licenciado,211,2/8/2025,Al dia,23
Inst. Splendor Home Care Inc.,Adultos Mayores,Institucion de Adultos,Operando,Circulo C #209 Base Ramey Aguadilla,Aguadilla,603,Aguadilla,72005,603,Marangeli,(787)-658-6393,Licenciado,161,10/1/2023,Al dia,30
Yarilyn Sweet Home,Adultos Mayores,Institucion de Adultos,Operando,Carr. 110 Km 39.2 Bo. Malezas,Aguadilla,603,Aguadilla,72005,603,Yahaira,(787)-964-9623,Licenciado,230,3/11/2025,Al dia,33
Campea San Antonio,Adultos Mayores,CAMPEA,Operando,"Calle  Las Delicias 1518, San Antonio, Aguadilla, Pr",Aguadilla,603,Aguadilla,72005,603,Nilsa,(787)-890-6145,Licenciado,28,2/10/2024,Al dia,35
Splendor Home Ii,Adultos Mayores,Institucion de Adultos,Operando,Calle A # 138 Base Ramey Aguadilla,Aguadilla,603,Aguadilla,72005,603,Miguel,(787)-658-6551,Licenciado,170,12/29/2024,Al dia,36
Institucion Hogar San Carlos Borromeo,Adultos Mayores,Institucion de Adultos,Operando,"Carr. 443 Km 0.9 Bo. Caimital Alto, Aguadilla",Aguadilla,603,Aguadilla,72005,603,Francheska,(787)-882-7574,Licenciado,223,7/13/2024,Al dia,38
Hogar Ciriaco Sancha Inc.,Adultos Mayores,Institucion de Adultos,Operando,"Carr. 111 Ramal, 125 Km 20 Sector Los Torres, Bo. Palmar , Aguadilla",Aguadilla,603,Aguadilla,72005,603,Sor Nilsa,(787)-877-5347,Licenciado,100,7/15/2025,Al dia,43
Inst. Hogar Betzaida Inc.,Adultos Mayores,Institucion de Adultos,Operando,"Carr. #2, Km. 117.2, Bo. Ceiba Baja, Aguadilla",Aguadilla,603,Aguadilla,72005,603,Oscar,(787)-882-9004,Licenciado,138,10/22/2024,Al dia,49
Centro De Actividades Multiples Caimital Alto,Adultos Mayores,CAMPEA,Operando,"Carr. 443 Km. 4.9, Bo. Palmar, Aguadilla",Aguadilla,603,Aguadilla,72005,603,Veronica,(787)-891-4490,Licenciado,32,4/22/2024,Al dia,50
Campea Camaseyes,Adultos Mayores,CAMPEA,Operando,"Carr. 467 Km 0.1 Bo. Camaseyes, Aguadilla",Aguadilla,603,Aguadilla,72005,603,Christian,(787)-891-1405,Licenciado,34,8/18/2024,Al dia,70
Campea El Higuey,Adultos Mayores,CAMPEA,Operando,Calle Progreso Num. 75,Aguadilla,603,Aguadilla,72005,603,Emelinda,(787)-882-4595,Licenciado,29,2/1/2024,Al dia,70
Campea Juan Garcia Ducos - Municipio De Aguadilla,Adultos Mayores,CAMPEA,Operando,Carr. 467 Km 2.0 Int. Bo.,Aguadilla,603,Aguadilla,72005,603,Julia,(787)-882-1179,Licenciado,25,3/10/2025,Al dia,70
Campea Vicente Bayron Velez,Adultos Mayores,CAMPEA,Operando,Carr. 105 Int. Calle Zuzuarregui,Mayaguez,680,Aguadilla,72005,606,Lisandra,(787)-838-2477,Licenciado,43,2/26/2024,Al dia,32
Hogar Sustituto Alicea Garay,Adultos Mayores,Hogar Sustituto,Operando,Bo. Mulas Sector Las Orquideas Num #8 Calle Arandano,Caguas,725,Aguas Buenas,72007,703,Joan,(787)-309-0250,Licenciado,128,7/10/2025,Al dia,5
Hogar Sustituto Falcon Rosario,Adultos Mayores,Hogar Sustituto,Operando,Bo. Sumidero Sector Cantera Carr. 173 Km 4.7,Caguas,725,Aguas Buenas,72007,703,Norberto,(787)-732-5242,Licenciado,123,2/10/2024,Al dia,6
Hs Pagan Diaz,Adultos Mayores,Hogar Sustituto,Operando,Carr. 156 Km 52.2 Bo. Caguitas,Caguas,725,Aguas Buenas,72007,703,Juan,(787)-306-5907,Licenciado,159,10/27/2023,Al dia,6
"Inst. La Lomita De Mis Abuelos, Inc.",Adultos Mayores,Institucion de Adultos,Operando,Carr. 156 Ramal 794 Km 1.2 Bo. Las Aranas,Caguas,725,Aguas Buenas,72007,703,Juan,(787)-527-3035,Licenciado,360,8/1/2025,Al dia,20
Institucion Amor Y Paz,Adultos Mayores,Institucion de Adultos,Operando,Carr. 790 Ramal 781 Km 5.8 Juan Asencio,Caguas,725,Aguas Buenas,72007,703,Arturo,(939)-262-2951,Licenciado,210,4/19/2024,Al dia,20
Campea Rafael Lasa,Adultos Mayores,CAMPEA,Operando,"Calle Pedro Albizu, Albizucampo Final, Num 4, Aguas Buenas",Caguas,725,Aguas Buenas,72007,703,Maria,(787)-528-8800,Licenciado,2,8/1/2025,Al dia,104
Instituto Casa Corales,Adultos Mayores,Institucion de Adultos,Operando,"Carr. #793 Km 0.4, Bo. Sonadora, Aguas Buenas",Humacao,741,Aguas Buenas,72007,703,Joan,(787)-598-5828,Licenciado,327,5/2/2025,Al dia,20
Hogar Sustituto Pascual- Garcia (Grisel),Adultos Mayores,Hogar Sustituto,Operando,"Urb. Lomas Country Club Calle 17 U-6 , Ponce",Ponce,716,Aibonito,72009,705,Grisel,(787)-241-5532,Licenciado,1121,3/9/2025,Al dia,6
Hogar Sustituto Alvarado - Burgos,Adultos Mayores,Hogar Sustituto,Operando,Urb. Jatibonito Ij9 Calle Cacique,Ponce,716,Aibonito,72009,705,Marilyn,(787)-396-5521,Licenciado,1792,7/7/2024,Al dia,6
Hogar Sustituto Alvarado Colon Tomas,Adultos Mayores,Hogar Sustituto,Operando,Bo. Caonillas Carr. 726,Ponce,716,Aibonito,72009,705,Tomas,(787)-377-9558,Licenciado,1562,3/11/2025,Al dia,6
Hogar Sustituto Lupianez Mejias,Adultos Mayores,Hogar Sustituto,Operando,Bo. Asomante Carr. 723 Km 0.5,Ponce,716,Aibonito,72009,705,Nancy,(939)-451-1162,Licenciado,0,6/27/2025,Al dia,6
Rivera - Vargas,Adultos Mayores,Hogar Sustituto,Operando,Bo. San Luis Calle Palestina #237 Carr. 724 Km. 2.0,Ponce,716,Aibonito,72009,705,Janka,(787)-679-6837,Licenciado,L09230780,7/13/2025,Al dia,6
"Mennonite General Hospital, Inc. / Centro Menonita Para Personas De Edad Avanzada",Adultos Mayores,CAMPEA,Operando,Calle Julio Cintron #301,Ponce,716,Aibonito,72009,705,Jose,(787)-318-7648,Licenciado,L09230815,7/19/2025,Al dia,50
"Brandys Home, Llc.",Adultos Mayores,Institucion de Adultos,Operando,"Carr. 405 Km 2.1 Bo. Carreras, Anasco",Mayaguez,680,Anasco,72011,610,Wilmary,(939)-475-4587,Licenciado,256,3/12/2025,Al dia,10
"Inst. Hogar Adult Sweet, Inc",Adultos Mayores,Institucion de Adultos,Operando,Carr. 109 Km 01 Int. Ramal 420 Bo. Corcovada,Mayaguez,680,Anasco,72011,610,Waldemar,(787)-223-3842,Licenciado,230,11/17/2024,Al dia,15
Inst. Hogar Mi Epoca Dorada,Adultos Mayores,Institucion de Adultos,Operando,Bo. Quebrada Larga Carr. #2 Km 141.3,Mayaguez,680,Anasco,72011,610,Kelvin,(781)-951-0085,Licenciado,207,5/4/2025,Al dia,16
Inst. Paraiso Las Gaviotas,Adultos Mayores,Institucion de Adultos,Operando,"Carr. 405 Km 2.1 Bo. Carreras, Anasco",Mayaguez,680,Anasco,72011,610,Margarita,(787)-299-9781,Licenciado,184,4/5/2025,Al dia,16
Vassallo Care Home. Inc.,Adultos Mayores,Institucion de Adultos,Operando,"Urb. Vista Del Rio Ii, Calle 13 Casa P1 Bo. Carreras",Mayaguez,680,Anasco,72011,610,Yarelis,(787)-485-7545,Licenciado,235,6/20/2025,Al dia,16
Hogar Castillo Inc.,Adultos Mayores,Institucion de Adultos,Operando,Carr 402 Km 3.8 Bo. Caracol,Mayaguez,680,Anasco,72011,610,Alexis,(787)-454-4985,Licenciado,144,8/23/2024,Al dia,20
Inst. Hogar De Ancianos,Adultos Mayores,Institucion de Adultos,Operando,"Carr. 109 Km 4.1 Bo. Espino, Anasco",Mayaguez,680,Anasco,72011,610,Hector,(787)-960-9165,Licenciado,162,7/31/2025,Al dia,23
Hogar Felicidad Anos Dorados I,Adultos Mayores,Institucion de Adultos,Operando,Calle  Luis Munoz MariN 283 Parcelas Maria,Mayaguez,680,Anasco,72011,610,Jose,(787)-826-5624,Licenciado,99,5/26/2025,Al dia,24
"Hogar Emmanuel Dios Con Nosotros, Inc.",Adultos Mayores,Institucion de Adultos,Operando,Parcelas Maria Calle Jardines #88 Anasco,Mayaguez,680,Anasco,72011,610,Barnaby,(787)-826-9049,Licenciado,244,5/24/2024,Al dia,25
"Yajaira'S Elderly Care Center, Inc.",Adultos Mayores,Institucion de Adultos,Operando,Bo. Quebrada Larga Carr. 402 Km 20.4 Int.,Mayaguez,680,Anasco,72011,610,Yajaira,(787)-508-6255,Licenciado,146,6/24/2024,Al dia,27
Centro David Chapel Betances,Adultos Mayores,CAMPEA,Operando,Urb. Los Flamboyanes #61,Mayaguez,680,Anasco,72011,610,Emma,(787)-826-3383,Licenciado,34,11/7/2024,Al dia,75
Hs Mi Casita,Adultos Mayores,Hogar Sustituto,Operando,"Carretera 639 Km, 2.0 Bo. Sabana Hoyos, Sector Manantiales",Arecibo,612,Arecibo,72013,612,Ana D. Padilla Almonte,(787)-544-6485,Licenciado,384,6/1/2025,Al dia,6
Estancia De Amor El Salvador,Adultos Mayores,Institucion de Adultos,Operando,"Carr. #681 Calle 10 Lot. 197, Arecibo, Pr",Arecibo,612,Arecibo,72013,612,Mariana,(939)-257-0502,Licenciado,318,9/6/2024,Al dia,10
Hs Hogar Arilanis,Adultos Mayores,Institucion de Adultos,Operando,"Sector Ballaja, Sabana Hoyos, Arecibo",Arecibo,612,Arecibo,72013,612,Morilma,(939)-263-6892,Licenciado,388,12/14/2024,Al dia,10
Inst. Mi Querido Viejo,Adultos Mayores,Institucion de Adultos,Operando,Parcelas 264 Bo. Sabana Hoyos Sec. Las Carolinas,Arecibo,612,Arecibo,72013,612,Joanie Molina Reyes,(787)-384-0380,Licenciado,304,5/9/2025,Al dia,10
Inst. Refugio De Amor,Adultos Mayores,Institucion de Adultos,Operando,"Carretera #2 Km., 67.0 Bo. Santanas, Arecibo",Arecibo,612,Arecibo,72013,612,Iris,(939)-240-3433,Licenciado,285,1/27/2025,Al dia,10
Institucion Sonrisa De Angel,Adultos Mayores,Institucion de Adultos,Operando,Carr Num 2 Km65.6 Anexo Ferreterria La Nueva Era,Arecibo,612,Arecibo,72013,612,Janet,(787)-452-3721,Licenciado,244,3/2/2025,Al dia,11
Hogar Marcelys,Adultos Mayores,Institucion de Adultos,Operando,Carr. 2 Km 81.1 Int. Sur Reparto San Miguel,Arecibo,612,Arecibo,72013,612,Celimar,(787)-326-4848,Licenciado,269,4/16/2025,Al dia,12
Inst. Hogar Lazara Inc.,Adultos Mayores,Institucion de Adultos,Operando,Urb. Villa Velez Carr. #651 Bo. Dominguito,Arecibo,612,Arecibo,72013,612,Lorraine Domena Franco,(787)-237-5776,Licenciado,393,9/9/2023,Al dia,12
Inst. Hope Of Life,Adultos Mayores,Institucion de Adultos,Operando,San Lorenzo A- 20,Arecibo,612,Arecibo,72013,612,Joel Pagan Miranda,(787)-214-9615,Licenciado,302,2/8/2025,Al dia,14
Hogar Gaby Ii,Adultos Mayores,Institucion de Adultos,Operando,Reparto Diocesano Bo. Hato Arriba C/657 Km 2.0,Arecibo,612,Arecibo,72013,612,Norma Santiago Rivera / Nicolas Torres,(787)-393-8877,Licenciado,261,9/7/2024,Al dia,15
Hogar Mia Nonna Llc,Adultos Mayores,Institucion de Adultos,Operando,Urb. Garcia # 54,Arecibo,612,Arecibo,72013,612,Yary,(787)-344-9172,Licenciado,L02230553,5/8/2025,Al dia,15
Inst.  Hacienda Para La Edad Dorada,Adultos Mayores,Institucion de Adultos,Operando,"Brisas Del Mar, Lte #16 Bo. Islote, Arecibo",Arecibo,612,Arecibo,72013,612,Deborah Perez,(787)-650-3581,Licenciado,279,6/13/2025,Al dia,15
Hogar Barbara,Adultos Mayores,Institucion de Adultos,Operando,Carr. #2 Km. 65.3,Arecibo,612,Arecibo,72013,612,MariA Carrasquil Lo Rivera,(787)-817-8088,Licenciado,262,10/21/2024,Al dia,16
Inst. Rosales Del Carmen Inc,Adultos Mayores,Institucion de Adultos,Operando,"Carr. 657 Km 2.8 Int.  Sec Juncos, Bo. Hato Arriba, Arecibo",Arecibo,612,Arecibo,72013,612,Alejandro Alvarado,(787)-662-0210,Licenciado,253,2/10/2024,Al dia,16
"Inst. Elderly Active Home Ii, Inc.",Adultos Mayores,Institucion de Adultos,Operando,"Urb. San Lorenzo #3, Calle P. Mora Acosta, Arecibo",Arecibo,612,Arecibo,72013,612,Jose,(787)-424-3085,Licenciado,278,6/29/2024,Al dia,17
Inst. En Las Manos Del Alfalero,Adultos Mayores,Institucion de Adultos,Operando,Carr. 682 Bo. Factor Sector La Pra,Arecibo,612,Arecibo,72013,612,Delia Maldonado,(787)-427-4974,Licenciado,305,5/10/2025,Al dia,18
Inst. Elderly Active Home Inc.,Adultos Mayores,Institucion de Adultos,Operando,Calle #P Mora Acosta#6,Arecibo,612,Arecibo,72013,612,Ray,(939)-579-3929,Licenciado,259,5/23/2024,Al dia,20
El Hotel Llc,Adultos Mayores,Institucion de Adultos,Operando,Bo.Hato Arriba Carr 652,Arecibo,612,Arecibo,72013,612,Carlos,(787)-218-7568,Licenciado,L02221216,12/15/2024,Al dia,20
Esperanza De Vida Inc.,Adultos Mayores,Institucion de Adultos,Operando,Carr 656 Km 0.7,Arecibo,612,Arecibo,72013,612,Dulca,(787)-547-5045,Licenciado,L02230811,8/21/2025,Al dia,21
"Institucion Ancianos GeriaTrico Dulcamag, Inc.",Adultos Mayores,Institucion de Adultos,Operando,Carr. 656 Km H.7,Arecibo,612,Arecibo,72013,612,Johanie,(787)-817-2058,Licenciado,206,9/20/2023,Al dia,21
Inst. Family Nursing Home,Adultos Mayores,Institucion de Adultos,Operando,Carr. 683 Km. 1.4 Factor I Urb. Los Campos #8,Arecibo,612,Arecibo,72013,612,Lenin Gonzalez Pena,(939)-630-1169,Licenciado,296,7/25/2024,Al dia,22
Inst. Estancias Mi Jardin,Adultos Mayores,Institucion de Adultos,Operando,"Carr. 651 Km 4.7 Int. Hato Arriba, Sector Juncos",Arecibo,612,Arecibo,72013,612,Aixa,(787)-413-0702,Licenciado,301,2/11/2025,Al dia,25
"Angelina Nursing Home, Llcgdalena",Adultos Mayores,Institucion de Adultos,Operando,Carr 602 Km 0.5,Arecibo,612,Arecibo,72013,612,Magdalena,(787)-201-8595,Licenciado,L02230801,7/31/2025,Al dia,26
Inst. Omarys,Adultos Mayores,Institucion de Adultos,Operando,Calle San Geronimo #25 Bo. Santana,Arecibo,612,Arecibo,72013,612,Xiomara Maldonado,(787)-408-8976,Licenciado,307,7/18/2025,Al dia,26
Inst.  Mis Queridos Viejos,Adultos Mayores,Institucion de Adultos,Operando,Carr. #10 Km. 76.5,Arecibo,612,Arecibo,72013,612,Nilsa,(787)-393-1010,Licenciado,250,11/3/2025,Al dia,27
Centro Geriatrico La,Adultos Mayores,Institucion de Adultos,Operando,Carr. 651 Km. 2.1,Arecibo,612,Arecibo,72013,612,Luis Nunez,(787)-878-3079,Licenciado,185,4/25/2025,Al dia,30
Inst. Centro Geriatrico San Rafael,Adultos Mayores,Institucion de Adultos,Operando,"Calle Cervantes #49, Asilo San Rafael, Arecibo",Arecibo,612,Arecibo,72013,612,Juanita,(787)-878-3813,Licenciado,11,3/24/2025,Al dia,30
Forever Young Nursing Home,Adultos Mayores,Institucion de Adultos,Operando,Carr.638 Km 1.5 Bo. Domingo Ruiz,Arecibo,612,Arecibo,72013,612,Robinson,(787)-325-3272,Licenciado,L02230552,5/8/2025,Al dia,30
Institucion El Oasis De Amor,Adultos Mayores,Institucion de Adultos,Operando,"Carr. 2 Km. 65.3, Calle Marginal",Arecibo,612,Arecibo,72013,612,Damaris,(787)-312-7896,Licenciado,284,1/11/2025,Al dia,31
Inst. Hogar Ebenezer,Adultos Mayores,Institucion de Adultos,Operando,Bo. Dominguito,Arecibo,612,Arecibo,72013,612,Erika,(787)-599-5394,Licenciado,314,5/3/2024,Al dia,33
"Inst. Hogar Mi Edad De Oro, Inc.",Adultos Mayores,Institucion de Adultos,Operando,"Bo. San Daniel, Sector Las Canelas, Carr. 2, K.M 80, Interior, Calle Roman Santiago",Arecibo,612,Arecibo,72013,612,Brenda RomaN Rivera,(787)-356-8091,Licenciado,233,8/25/2024,Al dia,37
Inst. Hogar Betzaida Y Emmanuel Inc.,Adultos Mayores,Institucion de Adultos,Operando,"Bo. Dominguito, Carr 635 Km 1.4",Arecibo,612,Arecibo,72013,612,Martha Rivera,(787)-204-8267,Licenciado,258,7/29/2024,Al dia,38
Inst. Costa Linda Senior Resort,Adultos Mayores,Institucion de Adultos,Operando,"Urb. Santana, Carr. #2 Km 67.3, Arecibo",Arecibo,612,Arecibo,72013,612,Eloy,(787)-650-8860,Licenciado,297,7/21/2024,Al dia,48
Hogar Casa Mana Inc.,Adultos Mayores,Institucion de Adultos,Operando,"Carr. #2 Km 45.4, Bo. Cantera",Arecibo,612,Arecibo,72013,688,Tania Medina,(787)-567-0313,Licenciado,L02230674,6/28/2025,Al dia,49
Campea Arecibo Adult Day Care Inc.,Adultos Mayores,CAMPEA,Operando,"Carr. 129, Km 7 Bo. Los Dominguitos, Sector Green, Arecibo",Arecibo,612,Arecibo,72013,612,Rossie,(787)-460-4080,Licenciado,25,2/10/2025,Al dia,50
Campea Las Villas Del Capitan Correa,Adultos Mayores,CAMPEA,Operando,"Sector El Junco, Carr. 651 Km 2.7 Bo. Hato Arriba, Arecibo",Arecibo,612,Arecibo,72013,612,Nilda,(787)-878-5585,Licenciado,16,9/27/2024,Al dia,60
Campea Juventud Del Ayer,Adultos Mayores,CAMPEA,Operando,"Calle Julian Sanchez #160, Arecibo",Arecibo,612,Arecibo,72013,612,Hiram Cruz,(787)-879-1909,Licenciado,9,8/16/2023,Vencida,140
Hogar Sustituto Talita Cumi Inc.,Adultos Mayores,Hogar Sustituto,Operando,Bo. Palma Sector,Guayama,784,Arroyo,72015,714,Maudie,(939)-259-2189,Licenciado,118,11/28/2024,Al dia,5
Hs Hogar Una Luz En El Camino,Adultos Mayores,Hogar Sustituto,Operando,Urb. Arroyo Del Mar Calle Arena #514,Guayama,784,Arroyo,72015,714,Sharon,(787)-325-0494,Licenciado,192,6/17/2025,Al dia,6
Inst. Amor En Cristo,Adultos Mayores,Institucion de Adultos,Operando,"Urb.  Estancias De Girasol, Solar 21, Arroyo",Guayama,784,Arroyo,72015,714,Nancy,(787)-981-1418,Licenciado,92,6/9/2025,Al dia,10
Inst. Hogar Geriatrico Gonzalez,Adultos Mayores,Institucion de Adultos,Operando,"Urb. Valle De Arroyo, Calle2 #27",Guayama,784,Arroyo,72015,714,Nina,(787)-592-0675,Licenciado,191,4/12/2025,Al dia,10
Inst. Eterna Primavera,Adultos Mayores,Institucion de Adultos,Operando,Bo. Pitahaya Carr 751 Km 0.8,Guayama,784,Arroyo,72015,714,Pedro,(787)-319-2442,Licenciado,24,4/27/2024,Al dia,13
Inst. Hogar Monte Fe Inc.,Adultos Mayores,Institucion de Adultos,Operando,Carr. 755 Km 1 Bo. Ancones Calle Monte Verde #12,Guayama,784,Arroyo,72015,714,Marieliz,(787)-566-7545,Licenciado,203,5/1/2024,Al dia,14
Inst.  Hogar Suenos De Esperanza,Adultos Mayores,Institucion de Adultos,Operando,"Bo. Palmas 200Km, 127.5 Carr 3 Arroyo",Guayama,784,Arroyo,72015,714,Ana,(787)-910-2919,Licenciado,11,4/2/2025,Al dia,22
Centro Servicios Multiples Y Envejecientes,Adultos Mayores,CAMPEA,Operando,Calle Morse # 110,Guayama,784,Arroyo,72015,714,Mariam,(787)-839-9633,Licenciado,L06230117,1/30/2025,Al dia,40
La Casita Dorada,Adultos Mayores,Institucion de Adultos,Operando,Carr #2 Km 65.3 Factor I,Arecibo,612,Barceloneta,72017,617,Steven,(787)-667-8448,Licenciado,399,8/6/2024,Al dia,16
Inst. Saver Elderly Home,Adultos Mayores,Institucion de Adultos,Operando,Carr. 140 Km. 61.9,Arecibo,612,Barceloneta,72017,617,Saul Gonzalez Rivera,(787)-312-9496,Licenciado,265,4/19/2025,Al dia,20
Inst. Saver Elderly Home,Adultos Mayores,Institucion de Adultos,Operando,Carr. 140 Km 61.9 Bo. Magueyes,Arecibo,612,Barceloneta,72017,617,Carmen Rivera Nieves,(787)-312-9496,Licenciado,306,6/3/2025,Al dia,26
Hogar Sinai,Adultos Mayores,Institucion de Adultos,Operando,Carr. 140 Km 43.4 Bo. Mayuye Sector El Condadito,Arecibo,612,Barceloneta,72017,617,Irwin,(787)-307-0296,Licenciado,295,7/12/2024,Al dia,33
